0.94,1022.09,13.01,25.62,12.51,1490011200,5.0,71.0,2017-03-20 09:00:00,Partly cloudy until evening.
0.97,1021.28,16.51,25.62,14.41,1490097600,5.0,71.0,2017-03-21 09:00:00,Foggy in the morning.
0.92,1019.49,18.11,27.21,16.71,1490184000,6.0,110.0,2017-03-22 09:00:00,Partly cloudy until evening.
0.99,1015.72,18.61,24.7,17.51,1490270400,4.0,50.0,2017-03-23 09:00:00,Mostly cloudy until evening.
0.86,1013.59,17.61,29.22,15.21,1490356800,5.0,50.0,2017-03-24 09:00:00,"Partly cloudy starting in the afternoon, continuing until evening."
0.88,1013.8,20.51,30.09,17.01,1490443200,5.0,90.0,2017-03-25 09:00:00,"Partly cloudy starting in the afternoon and breezy starting in the afternoon, continuing until evening."
0.84,1011.39,20.21,27.21,18.61,1490529600,4.0,50.0,2017-03-26 09:00:00,"Mostly cloudy until evening and breezy starting in the afternoon, continuing until evening."
0.86,1015.52,20.91,30.31,17.71,1490616000,6.0,20.0,2017-03-27 09:00:00,Clear throughout the day.
0.92,1019.1,20.21,28.62,18.01,1490702400,6.0,50.0,2017-03-28 09:00:00,Partly cloudy until afternoon.
0.84,1017.1,18.21,28.4,16.51,1490788800,5.0,50.0,2017-03-29 09:00:00,Breezy until evening and partly cloudy throughout the day.
0.88,1016.75,19.21,28.104999999999997,18.11,1490875200,4.5,50.0,2017-03-30 09:00:00,INTERPOLATED
0.92,1016.4,20.21,27.81,19.71,1490961600,4.0,50.0,2017-03-31 09:00:00,Mostly cloudy throughout the day.
0.76,1021.2,19.81,28.21,19.01,1491048000,5.0,50.0,2017-04-01 09:00:00,Mostly cloudy throughout the day and breezy in the afternoon.
0.87,1015.29,18.21,20.51,16.51,1491134400,4.0,20.0,2017-04-02 09:00:00,"Mostly cloudy throughout the day and breezy starting in the afternoon, continuing until evening."
0.96,1016.29,15.41,24.21,14.01,1491220800,5.0,161.0,2017-04-03 09:00:00,Mostly cloudy until afternoon.
